"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA028 Agriculture: intensity,Code: EA028 Agriculture: intensity,Description: EA028 Agriculture: intensity,Comment: EA028 Agriculture: intensity,Subcase: EA028 Agriculture: intensity,References: EA028 Agriculture: intensity,Focal Year: EA112 Trance states,Code: EA112 Trance states,Description: EA112 Trance states,Comment: EA112 Trance states,Subcase: EA112 Trance states,References: EA112 Trance states,Focal Year: EA034 Religion: high gods,Code: EA034 Religion: high gods,Description: EA034 Religion: high gods,Comment: EA034 Religion: high gods,Subcase: EA034 Religion: high gods,References: EA034 Religion: high gods,Focal Year: EA035 Games,Code: EA035 Games,Description: EA035 Games,Comment: EA035 Games,Subcase: EA035 Games,References: EA035 Games
Ethnographic Atlas,Nyakyusa,Ad6,xd123,Nyakyusa (Ad6),-9.0,34.0,-9.0,34.0,nyak1261,Nyakyusa,,Atlantic-Congo,1930,5,"Intensive agriculture on permanent fields, utilizing fertilization by compost or animal manure, crop rotation, or other techniques so that fallowing is either unnecessary or is confined to relatively short periods",,Age villages of Mwaya and Masoko,Wilson(1977); Wilson(1959); Wilson(1957); Lehmann(1951); Wilson(1951b); Wilson(1951a); Wilson(1938); Wilson(1936); McKenny(1973); Charsley and McKenny(1974); ,1930,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,Age villages of Mwaya and Masoko,,1930,2,A high god present but otiose or not concerned with human affairs,,Age villages of Mwaya and Masoko,Wilson(1977); Wilson(1959); Wilson(1957); Lehmann(1951); Wilson(1951b); Wilson(1951a); Wilson(1938); Wilson(1936); McKenny(1973); Charsley and McKenny(1974); ,1930,1,No games of any of the three types,,Age villages of Mwaya and Masoko,Wilson(1977); Wilson(1959); Wilson(1957); Lehmann(1951); Wilson(1951b); Wilson(1951a); Wilson(1938); Wilson(1936); McKenny(1973); Charsley and McKenny(1974); 
Ethnographic Atlas,Southern Ute,Nd2,xd1152,Southern Ute (Nd2),38.0,-109.0,38.0,-109.0,utee1244,Ute,,Uto-Aztecan,1860,2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices",Practiced only by a few families,,Stewart(1942); Stewart(1940); Gifford(1940); Opler(1940); Hill and Hill(1970); Lowie(1924); ,1860,2,A belief in possession exists.,,,,1860,2,A high god present but otiose or not concerned with human affairs,,,Stewart(1942); Stewart(1940); Gifford(1940); Opler(1940); Hill and Hill(1970); Lowie(1924); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Stewart(1942); Stewart(1940); Gifford(1940); Opler(1940); Hill and Hill(1970); Lowie(1924); 
Ethnographic Atlas,Enga,Ie7,xd821,Enga (Ie7),-6.0,144.0,-6.0,144.0,enga1252,Enga,enq,Nuclear Trans New Guinea,1950,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,with special reference to the Mae group,Elkin(1953); Meggitt(1967); Meggitt(1965b); Meggitt(1965a); Meggitt(1962b); Meggitt(1958); Meggitt(1956); Goodenough(1953); ,1950,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,with special reference to the Mae group,,1950,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the Mae group,Elkin(1953); Meggitt(1967); Meggitt(1965b); Meggitt(1965a); Meggitt(1962b); Meggitt(1958); Meggitt(1956); Goodenough(1953); ,1950,1,No games of any of the three types,,with special reference to the Mae group,Elkin(1953); Meggitt(1967); Meggitt(1965b); Meggitt(1965a); Meggitt(1962b); Meggitt(1958); Meggitt(1956); Goodenough(1953); 
Ethnographic Atlas,Japanese,Ed5,xd648,Japanese (Ed5),35.0,136.0,35.0,136.0,nucl1643,Nuclear Japanese,jpn,Japonic,1950,6,Intensive cultivation where it is largely dependent upon irrigation,,Okayama,Norbeck(1954); DeVos(1965); DeVos and Wagatsuma(1967); Smith and Cornell(1956); Buck and Masland(1950); Beardsley et al.(1959); Brown(nd); ,1950,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,Okayama,,1950,2,A high god present but otiose or not concerned with human affairs,,Okayama,Norbeck(1954); DeVos(1965); DeVos and Wagatsuma(1967); Smith and Cornell(1956); Buck and Masland(1950); Beardsley et al.(1959); Brown(nd); ,1950,8,Games of all three types present,"In the region, though not in the hamlet",Okayama,Norbeck(1954); DeVos(1965); DeVos and Wagatsuma(1967); Smith and Cornell(1956); Buck and Masland(1950); Beardsley et al.(1959); Brown(nd); 
Ethnographic Atlas,Tiv,Ah3,xd320,Tiv (Ah3),7.0,9.0,7.0,9.0,tivv1240,Tiv,tiv,Atlantic-Congo,1920,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,Tar of Benue Province,Bohannan(1965); Bohannan(1960); Bohannan(1957b); Bohannan(1957a); Bohannan(1955); Bohannan(1954c); Bohannan(1954b); Bohannan(1954a); Bohannan(1953); Bohannan(1952); Bohannan and Bohannan(1969); Bohannan and Bohannan(1968); Bohannan and Bohannan(1958); Bohannan and Bohannan(1957); Bohannan and Bohannan(1953); ,1920,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,Tar of Benue Province,,1920,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Tar of Benue Province,Bohannan(1965); Bohannan(1960); Bohannan(1957b); Bohannan(1957a); Bohannan(1955); Bohannan(1954c); Bohannan(1954b); Bohannan(1954a); Bohannan(1953); Bohannan(1952); Bohannan and Bohannan(1969); Bohannan and Bohannan(1968); Bohannan and Bohannan(1958); Bohannan and Bohannan(1957); Bohannan and Bohannan(1953); ,1920,6,"Games of physical skill and of strategy present, but not games of chance",,Tar of Benue Province,Bohannan(1965); Bohannan(1960); Bohannan(1957b); Bohannan(1957a); Bohannan(1955); Bohannan(1954c); Bohannan(1954b); Bohannan(1954a); Bohannan(1953); Bohannan(1952); Bohannan and Bohannan(1969); Bohannan and Bohannan(1968); Bohannan and Bohannan(1958); Bohannan and Bohannan(1957); Bohannan and Bohannan(1953); 
Ethnographic Atlas,Tasiilaq,Na24,xd1040,Angmagsalik (Na24),66.0,-37.0,66.0,-37.0,east2535,East Greenlandic,,Eskimo-Aleut,1880,1,Complete absence of agriculture,,,Thalbitzer(1914); Holm(1911); Rink(1911); Ostermann(1938); Thalbitzer(1917-21); ,1880,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,,,1880,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Thalbitzer(1914); Holm(1911); Rink(1911); Ostermann(1938); Thalbitzer(1917-21); ,1880,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Thalbitzer(1914); Holm(1911); Rink(1911); Ostermann(1938); Thalbitzer(1917-21); 
Ethnographic Atlas,Ngala,Ae28,xd147,Ngala (Ae28),1.0,18.0,1.0,18.0,ling1263,Lingala,lin,Atlantic-Congo,1900,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Weeks(1913); Weeks(1909-10); Van Overbergh(1907a); Burssens(1958); ,1900,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,1900,2,A high god present but otiose or not concerned with human affairs,,,Weeks(1913); Weeks(1909-10); Van Overbergh(1907a); Burssens(1958); ,1900,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,,Weeks(1913); Weeks(1909-10); Van Overbergh(1907a); Burssens(1958); 
Ethnographic Atlas,Eastern Cree,Na31,xd1047,Eastern Cree (Na31),51.0,-85.0,51.0,-85.0,sout2978,Southern East Cree,crj,Algic,1850,1,Complete absence of agriculture,,with special reference to those of Albany and Moose Creek,Skinner(1912); ,1850,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,with special reference to those of Albany and Moose Creek,,1850,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to those of Albany and Moose Creek,Skinner(1912); ,1850,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to those of Albany and Moose Creek,Skinner(1912); 
Ethnographic Atlas,Witoto,Se6,xd1370,Witoto (Se6),-1.0,-74.0,-1.0,-74.0,muru1274,Murui Huitoto,huu,Huitotoan,1910,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,,Whitten(1915); Murdock(1936b); Tessmann(1930); ,1910,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,1910,2,A high god present but otiose or not concerned with human affairs,,,Whitten(1915); Murdock(1936b); Tessmann(1930); ,1910,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,,Whitten(1915); Murdock(1936b); Tessmann(1930); 
Ethnographic Atlas,Minnesota Ojibwa,Na36,xd1052,Chippewa (Na36),49.0,-96.0,49.0,-96.0,redl1238,Red Lake Chippewa,,Algic,1860,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,with special reference to the Red Lake and White Earth bands,Hesketh(1923); Barrett(1911a); Barnouw(1950); Densmore(1929); Hilger(1951); Hilger(1939); Kinietz(1947); ,1860,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,with special reference to the Red Lake and White Earth bands,,1860,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the Red Lake and White Earth bands,Hesketh(1923); Barrett(1911a); Barnouw(1950); Densmore(1929); Hilger(1951); Hilger(1939); Kinietz(1947); ,1860,5,"Games of strategy only, involving no significant element of physical skill, e.g., chess, go, poker. Whether or not an element of chance is also involved is considered irrelevant",,with special reference to the Red Lake and White Earth bands,Hesketh(1923); Barrett(1911a); Barnouw(1950); Densmore(1929); Hilger(1951); Hilger(1939); Kinietz(1947); 
Ethnographic Atlas,Kalaallit (West Greenland),Na25,xd1041,Greenlanders (Na25),68.66,-51.22,69.0,-53.0,west2617,West Greenlandic,,Eskimo-Aleut,1910,1,Complete absence of agriculture,,with special reference to the inhabitants of the Egesminde District,Bugge(1952); Nansen(1893); Birket-Smith(1924); Porsild(1915); Cranz(1767); Saabye(1818); Egede(1818); Rink(1877); ,1910,7,"Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.",,with special reference to the inhabitants of the Egesminde District,,1910,4,"A high god present, active, and specifically supportive of human morality","Formerly 'absent' (code ""1"")",with special reference to the inhabitants of the Egesminde District,Bugge(1952); Nansen(1893); Birket-Smith(1924); Porsild(1915); Cranz(1767); Saabye(1818); Egede(1818); Rink(1877); ,1910,6,"Games of physical skill and of strategy present, but not games of chance","Formerly 'physical skill only' (code ""2"")",with special reference to the inhabitants of the Egesminde District,Bugge(1952); Nansen(1893); Birket-Smith(1924); Porsild(1915); Cranz(1767); Saabye(1818); Egede(1818); Rink(1877); 
Ethnographic Atlas,Chagga,Ad3,xd98,Chagga (Ad3),-3.0,37.0,-3.0,37.0,moch1256,Mochi,old,Atlantic-Congo,1910,6,Intensive cultivation where it is largely dependent upon irrigation,,,Dundas(1924); Raum(1940); Stahl(1964); Abbott(1892); Gutmann(1926); Gutmann(1913); ,1910,2,A belief in possession exists.,,,,1910,1,A high god absent or not reported in substantial descriptions of religious beliefs,,,Dundas(1924); Raum(1940); Stahl(1964); Abbott(1892); Gutmann(1926); Gutmann(1913); ,1910,8,Games of all three types present,,,Dundas(1924); Raum(1940); Stahl(1964); Abbott(1892); Gutmann(1926); Gutmann(1913); 
Ethnographic Atlas,Wayuu,Sb6,xd1331,Goajiro (Sb6),12.0,-72.0,12.0,-72.0,wayu1243,Wayuu,guc,Arawakan,1940,2,"Casual agriculture, i.e., the slight or sporadic cultivation of food or other plants incidental to a primary dependence upon other subsistence practices",,Goajiro Tribe,Gutierrez de Pineda(1948); Bolinder(1957); Wilbert(1962); Watson(1973); Simons(1885); Pineda Giraldo(1950); Santa Cruz(1941); Santa Cruz(1960); Armstrong and Metraux(1948); ,1940,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,Goajiro Tribe,,1940,3,A high god present and active in human affairs but not offering positive support to human morality,,Goajiro Tribe,Gutierrez de Pineda(1948); Bolinder(1957); Wilbert(1962); Watson(1973); Simons(1885); Pineda Giraldo(1950); Santa Cruz(1941); Santa Cruz(1960); Armstrong and Metraux(1948); ,1940,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,Goajiro Tribe,Gutierrez de Pineda(1948); Bolinder(1957); Wilbert(1962); Watson(1973); Simons(1885); Pineda Giraldo(1950); Santa Cruz(1941); Santa Cruz(1960); Armstrong and Metraux(1948); 
Ethnographic Atlas,Senoi,Ej14,xd721,Senoi (Ej14),4.0,102.0,4.0,102.0,sema1266,Semai,sea,Austroasiatic,1960,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,with special reference to the eastern Semai,Dentan(1967); ,1960,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,with special reference to the eastern Semai,,1960,1,A high god absent or not reported in substantial descriptions of religious beliefs,,with special reference to the eastern Semai,Dentan(1967); ,1960,1,No games of any of the three types,,with special reference to the eastern Semai,Dentan(1967); 
Ethnographic Atlas,Trumai,Si2,xd1399,Trumai (Si2),-12.0,-53.0,-12.0,-53.0,trum1247,Trumai,tpy,Trumai,1930,3,"Extensive or shifting cultivation, as where new fields are cleared annually, cultivated for a year or two, and then allowed to revert to forest or brush for a long fallow period",,Village of Vanivani,Lévi-Strauss(1948c); Murphy and Quain(1955); ,1930,1,"Trance behavior is known to occur, but there is no belief in possession.",,Village of Vanivani,,1930,1,A high god absent or not reported in substantial descriptions of religious beliefs,,Village of Vanivani,Lévi-Strauss(1948c); Murphy and Quain(1955); ,1930,2,"Games of physical skill only, whether or not they may also involve incidental elements of chance or strategy, e.g., foot racing, wrestling, the hoop-and-pole game",,Village of Vanivani,Lévi-Strauss(1948c); Murphy and Quain(1955); 
